Instrument,InstrumentSub,Sector,"Periode ",waarde
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-01,178744
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-02,179109
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-03,179189
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-04,180772
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-05,180102
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-06,180686
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-07,180293
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-08,180666
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-09,179909
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-10,182446
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-11,181845
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-12,180471
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-01,181486
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-02,180842
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-03,181365
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-04,182226
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-05,183344
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-06,184077
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-07,184675
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-08,186423
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-09,187897
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-10,189440
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-11,188194
